Species,Genus,Species_name,Biomes,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome_FunctionalType,OsmoticPotential_WET_MPa,OsmoticPotential_DRY_MPa,OsmoticAdjustment_MPa,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_adjustment_contribution_to_TLP_DRY_percent,RWC_total_wet_percent,RWC_total_dry_percent,RWC_total_Adjustment_percent,RWC_adjustment_contribution_to_postdroughtRWC_percent,Drought Treatment,Site_Latitude,Site_Longitude,Site_Number,MeanAnnualPrecip_mm,AridityIndex_AI,PotentialEvapotranspiration_annual_mm,MeanPrecipitation_WetSeason_mm,MeanPrecipitation_DrySeason_mm,PotentialEvapotranspiration_WetSeason_mm,PotentialEvapotranspiration_DrySeason_mm,Annual_WaterBalance_mm,WetSeason_WaterBalance_mm,DrySeason_WaterBalance_mm,Seasonal_Difference_WaterBalance_mm,Wet month,Dry month,Reference,Notes
Eucalyptus clavigera,Eucalyptus,clavigera,Med/TempDry,W,D,Med/TempDry,-2.16,-2.29,-0.13,-2.6,-2.7,-0.1,3.703703704,86,87,1,1.149425287,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
Eucalyptus gunnii var. divaracata,Eucalyptus,gunnii,Med/TempDry,W,E,Med/TempDry,-2,-2.22,-0.22,-2.21,-2.46,-0.25,10.16260163,,,,,Seasonal adjustment,-41.816667,146.6666667,Site60,1303,1.7776,733,108,89,42,113,570,66,-24,90,April,December,Sanger et al. 2011,
Eucalyptus leucoxylon,Eucalyptus,leucoxylon,Temperate,W,E,TemperateE,-3.2,-3.18,0.02,-3.81,-3.92,-0.11,2.806122449,82,82,0,0,Seasonal adjustment,-33.75,117.45,Site2,483,0.3572,1303,74,16,39,133,-820,35,-117,152,June,March,White et al. 2000,
Eucalyptus marginata,Eucalyptus,marginata,Med/TempDry,W,E,Med/TempDry,-1.8,-2,-0.2,-2.2,-2.3,-0.1,4.347826087,,,,,Seasonal adjustment,-32.71,116.06,Site63,1215,0.931,1305,182,25,59,137,-90,123,-112,235,August,March,Szota et al. 2011,
Eucalyptus melliodora,Eucalyptus,melliodora,Med/TempDry,W,E,Med/TempDry,-2.784,-2.35,0.434,-3.36,-2.837,0.523,-18.43496651,85.7,87.9,2.2,2.502844141,Seasonal adjustment,-37.42,143.88,Site51,734,0.6597,1114,87,41,44,141,-380,43,-100,143,August,February,Merchant et al. 2010,
Eucalyptus miniata,Eucalyptus,miniata,Med/TempDry,W,E,Med/TempDry,-1.81,-1.83,-0.02,-1.98,-2.08,-0.1,4.807692308,89,87,-2,-2.298850575,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
Eucalyptus obliqua,Eucalyptus,obliqua,Med/TempDry,W,E,Med/TempDry,-1.8,-1.856,-0.056,-2.091,-2.156,-0.065,3.014842301,88.6,91.51,2.91,3.17998033,Seasonal adjustment,-37.42,143.88,Site51,734,0.6597,1114,87,41,44,141,-380,43,-100,143,August,February,Merchant et al. 2010,
Eucalyptus pauciflora,Eucalyptus,pauciflora,Med/TempDry,W,E,Med/TempDry,-1.91,-1.95,-0.04,-2.12,-2.13,-0.01,0.469483568,,,,,Seasonal adjustment,-41.816667,146.6666667,Site60,1303,1.7776,733,108,89,42,113,570,66,-24,90,April,December,Sanger et al. 2011,
Eucalyptus platypus,Eucalyptus,platypus,Med/TempDry,W,E,Med/TempDry,-2.48,-2.78,-0.3,-3.07,-3.94,-0.87,22.08121827,87,73,-14,-19.17808219,Seasonal adjustment,-33.75,117.45,Site2,483,0.3572,1303,74,16,39,133,-820,35,-117,152,June,March,White et al. 2000,
Eucalyptus rubida,Eucalyptus,rubida,Med/TempDry,W,E,Med/TempDry,-1.871,-1.986,-0.115,-2.203,-2.328,-0.125,5.369415808,88.5,87.66,-0.84,-0.958247775,Seasonal adjustment,-37.42,143.88,Site51,734,0.6597,1114,87,41,44,141,-380,43,-100,143,August,February,Merchant et al. 2010,
Eucalyptus saligna,Eucalyptus,saligna,Temperate,W,E,TemperateE,-1.95,-2.13,-0.18,-2.45,-2.65,-0.2,7.547169811,85,85,0,0,Seasonal adjustment,-33.75,117.45,Site2,483,0.3572,1303,74,16,39,133,-820,35,-117,152,June,March,White et al. 2000,
Eucalyptus salmonophloia,Eucalyptus,salmonophloia,Med/TempDry,W,E,Med/TempDry,,,,-3.361111111,-4.083333333,-0.722222222,17.68707483,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Eucalyptus tetrodonta,Eucalyptus,tetrodonta,Med/TempDry,W,E,Med/TempDry,-1.83,-1.93,-0.1,-2.06,-2.13,-0.07,3.286384977,80,89,9,10.11235955,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
Eugenia umbelliflora,Eugenia,umbelliflora,Coastal/Wetland,W,E,Coastal/Wetland,-1.66,-1.86,-0.2,-2.01,-2.32,-0.31,13.36206897,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Eurya austroyunnanensis,Eurya ,austroyunnanensis,TropicalDry,W,E,TropicalDryE,-0.94,-0.893535056,0.046464944,-1.49784,-1.413496,0.084344,-5.967049075,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Eurya japonica,Eurya,japonica,Temperate,W,E,TemperateE,-0.94,-1.26,-0.32,-2.61,-3.18,-0.57,17.9245283,,,,,Seasonal adjustment,35.15,136.8833333,Site15,1600,1.5769,1072,111,53,70,34,528,41,19,22,March,January,Harayama et al. 2006,
Fagus sylvatica,Fagus,sylvatica,Temperate,W,D,TemperateD,-1.39,-1.95,-0.56,-1.74,-2.4,-0.66,27.5,,,,,Seasonal adjustment,41.11666667,-3.5,Site29,604,0.6623,921,55,27,136,162,-317,-81,-135,54,June,July,Aranda et al. 1996,
Ficus orthoneura,Ficus,orthoneura,TropicalDry,W,E,TropicalDryE,-1.26,-1.31,-0.05,-1.42,-1.4,0.02,-1.428571429,,,,,Seasonal adjustment,21.15,100.8333333,Site72,1666,1.0486,1584,196,75,141,177,82,55,-102,157,June,April,Liu et al. 2012,
Ficus pisocarpa,Ficus,pisocarpa,TropicalDry,W,D,TropicalDryD,-1.26,-1.1,0.16,-1.51,-1.24,0.27,-21.77419355,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Forchhammeria pallida,Forchhammeria,pallida,TropicalDry,W,D,TropicalDryD,-2.51,-2.51,0,-2.83,-2.86,-0.03,1.048951049,,,,,Seasonal adjustment,19.5,-105.05,Site43,782,0.4232,1824,139,32,168,123,-1042,-29,-91,62,July,November,Fanjul & Barradas 1987,
Fraxinus americana,Fraxinus,americana,Temperate,W,D,TemperateD,-0.96,-1,-0.04,-1.21,-1.16,0.05,-4.310344828,,,,,Seasonal adjustment,47.81305556,-114.3091667,Site83,452,0.5863,908,57,39,123,91,-456,-66,-52,-14,June,August,Kubiske & Abrams 1991b,
Fraxinus latifolia,Fraxinus,latifolia,Temperate,W,D,TemperateD,-1.25,-2.11,-0.86,-1.71,-2.53,-0.82,32.41106719,,,,,Seasonal adjustment,44.63812412,-123.192101,Site26,1085,1.0793,1020,35,18,148,157,65,-113,-139,26,June,August,Davis 2005,
Grevillea patentiloba,Grevillea,patentiloba,Med/TempDry,W,E,Med/TempDry,,,,-2.861111111,-5.083333333,-2.222222222,43.71584699,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Gutierrezia sarothrae,Gutierrezia,sarothrae,SemiDesert,W,E,SemiDesert,-1.99,-2.71,-0.72,-2.51,-3.33,-0.82,24.62462462,,,,,Seasonal adjustment,33.59374517,-101.8858337,Site14,450,0.3307,1431,29,68,138,175,-981,-109,-107,-2,April,May,Wan et al. 1993,
Hakea cygna,Hakea,cygna,Med/TempDry,W,E,Med/TempDry,,,,-3.5,-4.111111111,-0.611111111,14.86486486,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Hakea subsulcata,Hakea,subsulcata,Med/TempDry,W,E,Med/TempDry,,,,-2.666666667,-4.5,-1.833333333,40.74074073,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Heteromeles arbutifolia,Heteromeles,arbutifolia,Med/TempDry,W,E,Med/TempDry,-2.77,-2.89,-0.12,-3.71,-3.65,0.06,-1.643835616,,,,,Seasonal adjustment,37.4,-122.2,Site41,626,0.5602,1112,10,2,128,151,-486,-118,-149,31,May,July,Davis & Mooney 1986,
Hippophae rhamnoides,Hippophae,rhamnoides,SemiDesert,W,D,SemiDesert,-1.2317,-1.2461,-0.0144,-1.4401,-1.4895,-0.0494,3.316549178,91.32,88.07,-3.25,-3.690246395,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Hyparrhenia diplandra,Hyparrhenia,diplandra,TropicalDry,H,E,TropicalDryE,-1.11,-1.41,-0.3,-1.55,-1.82,-0.27,14.83516484,88.2,92.7,4.5,4.854368932,Seasonal adjustment,6.216666667,-5.033333333,Site6,1200,0.6977,1662,148,68,157,131,-462,-9,-63,54,April,November,Le Roux & Bariac 1998,
Ilex opaca,Ilex,opaca,Temperate,W,D,TemperateD,-1.53,-1.98,-0.45,-1.96,-2.46,-0.5,20.32520325,81,86,5,5.813953488,Seasonal adjustment,35.9,-79.3,Site59,1157,0.9059,1276,102,90,172,89,-119,-70,1,-71,June,October,Roberts & Knoerr 1977,
Ilex pedunculosa,Ilex,pedunculosa,Temperate,W,E,TemperateE,-1.26,-1.55,-0.29,-2.11,-2.87,-0.76,26.48083624,,,,,Seasonal adjustment,35.15,136.8833333,Site15,1600,1.5769,1072,111,53,70,34,528,41,19,22,March,January,Harayama et al. 2006,
Isopogon axillaris,Isopogon,axillaris,Med/TempDry,W,E,Med/TempDry,,,,-1.444444444,-2.944444444,-1.5,50.94339623,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Isopogon gardneri,Isopogon,gardneri,Med/TempDry,W,E,Med/TempDry,,,,-2.388888889,-3.611111111,-1.222222222,33.84615384,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Juniperus communis,Juniperus,communis,Med/TempDry,W,E,Med/TempDry,-1.67,-2.24,-0.57,-2.57,-3.1,-0.53,17.09677419,,,,,Seasonal adjustment,43.43333333,10.7,Site24,809.6,0.853,909,58,29,116,155,-99.4,-58,-126,68,May,July,Tognetti et al. 2000,
Juniperus oxycedrus,Juniperus,oxycedrus,TemperateConifer,W,E,TemperateConifer,,,,-2.31,-2.79,-0.48,17.20430108,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Juniperus phoenicea,Juniperus,phoenicea,TemperateConifer,W,E,TemperateConifer,,,,-2.35,-2.67,-0.32,11.98501873,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Knema globularia,Knema ,furfuracea,TropicalDry,W,E,TropicalDryE,-0.911,-1.022426231,-0.111426231,-1.4448,-1.643497778,-0.198697778,12.08993285,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Lagerstromia tomentosa,Lagerstromia ,tomentosa,TropicalDry,W,D,TropicalDryD,-1.62,-1.83,-0.21,-1.85,-2.03,-0.18,8.866995074,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Larix decidua,Larix,decidua,TemperateConifer,W,D,TemperateConifer,-1.34,-1.84,-0.5,-2.03,-2.69,-0.66,24.53531599,94,93,-1,-1.075268817,Seasonal adjustment,46.55508302,12.14813232,Site27,1090.9,3.7257,659,108,117,118,104,431.9,-10,13,-23,June,August,Badalotti et al. 2000,
Larix sibirica,Larix,siberica,TemperateConifer,W,E,TemperateConifer,,,,-1.52,-1.9,-0.38,20,,,,,Seasonal adjustment,49.0833,107.2833,Site42,289,0.3822,756,53,81,154,150,-467,-101,-69,-32,June,July,Dulamsuren et al. 2009,
Larrea tridentata,Larrea,tridentata,SemiDesert,W,E,SemiDesert,-2.15,-2.5,-0.35,-3.32,-3.45,-0.13,3.768115942,,,,,Seasonal adjustment,33.43333333,-111.75,Site13,229.5,0.1443,1736,21,26,77,236,-1506.5,-56,-210,154,February,July,Monson & Smith 1982,
Lasiococca comberi,Lasiococca,comberi,TropicalDry,W,E,TropicalDryE,-1.8,-2.83,-1.03,-2.14,-3.32,-1.18,35.54216867,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Laurus nobilis,Laurus,nobilis,Med/TempDry,W,E,Med/TempDry,-2.15,-2.45,-0.3,-2.460675,-2.72195,-0.261275,9.598817025,,,,,Seasonal adjustment,38.18333333,15.55,Site19,850.9,0.8185,923,33,56,120,97,-72.1,-87,-41,-46,May,September,Lo Gullo & Salleo 1988,
Ligustrum japonicum,Ligustrum,japonicum,Temperate,W,E,TemperateE,-1.21,-1.5,-0.29,-2.05,-2.92,-0.87,29.79452055,,,,,Seasonal adjustment,35.15,136.8833333,Site15,1600,1.5769,1072,111,53,70,34,528,41,19,22,March,January,Harayama et al. 2006,
Liquidambar styraciflua,Liquidambar,styraciflua,Temperate,W,D,TemperateD,-1.63,-1.88,-0.25,-2.08,-2.59,-0.51,19.69111969,81,78,-3,-3.846153846,Seasonal adjustment,35.9,-79.3,Site59,1157,0.9059,1276,90,86,124,89,-119,-34,-3,-31,September,October,Roberts & Knoerr 1977,
Liriodendron tulipifera,Liriodendron,tulipifera,Temperate,W,D,TemperateD,-1.49,-1.7,-0.21,-2.08,-2.25,-0.17,7.555555556,73,77,4,5.194805195,Seasonal adjustment,35.9,-79.3,Site59,1157,0.9059,1276,90,86,124,89,-119,-34,-3,-31,September,October,Roberts & Knoerr 1977,
Lupinus latifolius,Lupinus,latifolius,Alpine/Subalpine,H,D,Alpine/Subalpine,-0.72,-1.35,-0.63,-0.87,-1.58,-0.71,44.93670886,,,,,Seasonal adjustment,46.2,-122.1833,Site37,3115,6.3367,493,109,70,76,83,2622,33,-13,46,June,August,Braatne & Bliss 1999,
Lupinus lepidus,Lupinus,lepidus,Alpine/Subalpine,H,E,Alpine/Subalpine,-0.71,-0.9,-0.19,-0.92,-1.31,-0.39,29.77099237,,,,,Seasonal adjustment,46.2,-122.1833,Site37,3115,6.3367,493,109,70,76,83,2622,33,-13,46,June,August,Braatne & Bliss 1999,
Lycium chilense,Lycium,chilense,SemiDesert,W,D,SemiDesert,-1.21,-1.52,-0.31,-1.76,-2.15,-0.39,18.13953488,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Machilus duthiei,Machilus,duthiei,TropicalDry,W,E,TropicalDryE,-1.77,-3.15,-1.38,-2.01,-3.58,-1.57,43.8547486,91.8,85.2,-6.6,-7.746478873,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Macropanax dispermus,Macropanax,dispermus,TropicalDry,W,E,TropicalDryE,-1.01,-1.075765499,-0.065765499,-1.615533333,-1.738946667,-0.123413334,7.097016601,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Mallotus garrettii,Mallotus, garrettii ,TropicalDry,W,E,TropicalDryE,-0.739753037,-1.022619911,-0.282866874,-1.474093333,-1.644098667,-0.170005334,10.34033644,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Mallotus wrayi,Mallotus,wrayi,TropicalDry,W,E,TropicalDryE,-1.56,-1.69,-0.13,-2.07,-2.32,-0.25,10.77586207,81,73,-8,-10.95890411,Seasonal adjustment,4.9667,117.7667,Site46,2329,1.5697,1483,181,148,124,129,846,57,19,38,June,April,Gibbons & Newbery 2002,
Malus micromalus,Malus,micromalus,SemiDesert,W,D,SemiDesert,-1.77,-2.43,-0.66,-2.62,-3.08,-0.46,14.93506494,91.8,85.6,-6.2,-7.242990654,Seasonal adjustment,39.2,111.2666667,Site67,455,0.4312,1055,29,52,155,174,-600,-126,-122,-4,May,June,Chai et al. 2000,
Manilkara subsericea,Manilkara,subsericea,Coastal/Wetland,W,E,Coastal/Wetland,-1.91,-1.96,-0.05,-2.33,-2.47,-0.14,5.668016194,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Maytenus obtusifolia,Maytenus,obtusifolia,Coastal/Wetland,W,E,Coastal/Wetland,-2.6,-2.25,0.35,-3.08,-2.83,0.25,-8.833922261,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Melaleuca cuticularis,Melaleuca,cuticularis,Coastal/Wetland,W,E,Coastal/Wetland,-3.34,-4.07,-0.73,-4.5,-5.46,-0.96,17.58241758,75,79,4,5.063291139,Seasonal adjustment,-32.61666667,115.7666667,Site38,879,0.6569,1338,119,18,66,138,-459,53,-120,173,August,March,Carter et al. 2006,
Melaleuca scabra,Melaleuca,scabra,Med/TempDry,W,E,Med/TempDry,,,,-3.861111111,-3.805555556,0.055555555,-1.459854026,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Memora axillaris,Memora,axillaris,TropicalDry,W,E,TropicalDryE,-2.96,-2.67,0.29,-3.35,-3.25,0.1,-3.076923077,95.93,96.08,0.15,0.1561199,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Mezzettiopsis creaghii,Mezzettiopsis,creaghii,TropicalDry,W,E,TropicalDryE,-1.033,-1.074888602,-0.041888602,-1.664136,-1.737421333,-0.073285333,4.218051887,,,,,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,135,157,183,155,-128,283,July,March,Bartlett unpublished data,
Miconia albicans,Miconia,albicans,TropicalDry,W,E,TropicalDryE,-1.77,-2.37,-0.6,-2.48,-3,-0.52,17.33333333,86.96,92.08,5.12,5.560382276,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Miconia ligustroides,Miconia,ligustroides,TropicalDry,W,E,TropicalDryE,-2.03,-2.07,-0.04,-2.1,-2.6,-0.5,19.23076923,88.06,87.86,-0.2,-0.227634874,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Milletia pachycarpa,Milletia,pachycarpa,TropicalDry,W,E,TropicalDryE,-1.12,-1.34,-0.22,-1.55,-1.49,0.06,-4.026845638,,,,,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,125,86,99,178,0,178,August,November,Zhu & Cao 2009,
Millettia cubitti,Milletia,cubitti,TropicalDry,W,D,TropicalDryD,-1.37,-1.51,-0.14,-1.57,-1.64,-0.07,4.268292683,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Mulinum spinosum,Mulinum,spinosum,SemiDesert,W,D,SemiDesert,-1.45,-1.53,-0.08,-2.5,-2.83,-0.33,11.66077739,,,,,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,104,116,-660,-93,-107,14,February,November,Scholz et al. 2012,
Myrsine parvifolia,Myrsine,parvifolia,Coastal/Wetland,W,E,Coastal/Wetland,-1.94,-1.96,-0.02,-2.33,-2.36,-0.03,1.271186441,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Myrtus communis,Myrtus,communis,Med/TempDry,W,E,Med/TempDry,-1.712,-2.09,-0.378,-2.15,-2.56,-0.41,16.015625,,,,,Seasonal adjustment,43.43333333,10.7,Site24,809.6,0.853,909,58,29,116,155,-99.4,-58,-126,68,May,July,Tognetti et al. 2000,
Nuytsia floribunda,Nuytsia,floribunda,Med/TempDry,W,E,Med/TempDry,,,,-2.472222222,-2.583333333,-0.111111111,4.301075265,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Ocotea motata,Ocotea,motata,Coastal/Wetland,W,E,Coastal/Wetland,-2.01,-2.28,-0.27,-2.09,-2.29,-0.2,8.733624454,,,,,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,143,98,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,
Olea europaea,Olea,europaea,Med/TempDry,W,D,Med/TempDry,,,,-1.96,-3.9,-1.94,49.74358974,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Olea oleaster,Olea,oleaster,Med/TempDry,W,E,Med/TempDry,-2,-2.49,-0.49,-2.4872,-3.5,-1.0128,28.57142857,,,,,Seasonal adjustment,38.18333333,15.55,Site19,850.9,0.8185,923,33,56,120,97,-72.1,-87,-41,-46,May,September,Lo Gullo & Salleo 1988,
Olearia axillaris,Olearia,axillaris,Med/TempDry,W,E,Med/TempDry,,,,-2.333333333,-3.166666667,-0.833333334,26.31578946,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Olneya tesota,Olneya,tesota,SemiDesert,W,E,SemiDesert,-2.33,-2.48,-0.15,-3.36,-3.46,-0.1,2.89017341,,,,,Seasonal adjustment,33.43333333,-111.75,Site13,229.5,0.1443,1736,21,26,77,236,-1506.5,-56,-210,154,February,July,Monson & Smith 1982,
Ostrya carpinifolia,Ostrya,carpinifolia,Med/TempDry,W,D,Med/TempDry,,,,-2.88,-3.15,-0.27,8.571428571,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Panicum virgatum,Panicum,virgatum,Grassland,H,H,Grassland,-1.05,-1.52,-0.47,-1.45,-1.9,-0.45,23.68421053,,,,,Seasonal adjustment,39.0833,-96.5833,Site50,872,0.7562,1153,137,99,168,186,-281,-31,-87,56,June,August,Knapp 1984,
Petrophile glauca,Petrophile,glauca,Med/TempDry,W,E,Med/TempDry,,,,-1.722222222,-3.555555556,-1.833333334,51.56249998,,,,,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,92,143,-1062,-64,-126,62,September,March,Mitchell et al. 2008,
Phillyrea media,Phillyrea,media,Med/TempDry,W,E,Med/TempDry,,,,-2.92,-3.37,-0.45,13.35311573,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Phlomis grandiflora,Phlomis,grandiflora,Med/TempDry,W,D,Med/TempDry,,,,-1.86,-3.12,-1.26,40.38461538,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Picea abies,Picea,abies,TemperateConifer,W,E,TemperateConifer,-1.8,-2.09,-0.29,-2.24,-2.77,-0.53,19.13357401,,,,,Seasonal adjustment,48,7.85,Site47,887,1.0777,823,65,61,81,46,64,-16,15,-31,September,March,Gross & Koch 1991,
Picea rubens,Picea,rubens,TemperateConifer,W,E,TemperateConifer,-1.05,-1.3,-0.25,-1.31,-1.59,-0.28,17.61006289,88,86,-2,-2.325581395,Seasonal adjustment,35.5,-83.4,Site35,1487,1.2389,1201,131,121,168,152,286,-37,-31,-6,July,August,Andersen & McLaughlin 1991,
Pinus densiflora,Pinus,densiflora,TemperateConifer,W,E,TemperateConifer,-0.6,-1.47,-0.87,-1.545,-2.43,-0.885,36.41975309,,,,,Seasonal adjustment,34.5,134.33,Site52,1344,1.3245,1023,135,192,127,137,321,8,55,-47,May,July,Miki et al. 2003,
Pinus ponderosa,Pinus,ponderosa,TemperateConifer,W,E,TemperateConifer,-1.84,-2.06,-0.22,-2.61,-2.7,-0.09,3.333333333,76.8,79.4,2.6,3.274559194,Seasonal adjustment,46.8,-116.8,Site49,698,0.75,932,24,30,179,158,-234,-155,-128,-27,July,August,Jackson & Spomer 1989,
Pinus roxbughii,Pinus,roxburghii,TropicalDry,W,E,TropicalConifer,-0.86,-1.15,-0.29,-1.2,-1.75,-0.55,31.42857143,85.4,83.8,-1.6,-1.909307876,Seasonal adjustment,29.38333333,79.45,Site62,1653,1.768,1000,243,60,84,83,653,159,-23,182,August,October,Singh et al. 2006,
Pinus tabulaeformis,Pinus,tabulaeformis,TemperateConifer,W,E,TemperateConifer,-1.16,-1.82,-0.66,-1.915,-3.021,-1.106,36.61039391,86.7,75.1,-11.6,-15.4460719,Seasonal adjustment,See Notes,,,,,,,,,,,,,,May,December,Li & Xu ,
Piptocarpha rotundifolia,Piptocarpha,rotundifolia,TropicalDry,W,E,TropicalDryE,-1.4,-2.02,-0.62,-1.75,-2.6,-0.85,32.69230769,89.77,91.5,1.73,1.890710383,Seasonal adjustment,-22.25,-43.75,Site4,1240.7,1.0239,1440,268,15,162,85,-199.3,106,-70,176,January,July,Wenhui 1998,
Pistacia terebinthus,Pistacia,terebinthus,Med/TempDry,W,D,Med/TempDry,,,,-1.96,-3.5,-1.54,44,,,,,Seasonal adjustment,See Notes,,,,,,,,,,,,,,April,July,Duhme & Hinckley 1992,Data averaged from several sites in France and Turkey
Pistacia weinmannifolia,Pistacia,weinmannifolia,TropicalDry,W,E,TropicalDryE,-2.54,-2.6,-0.06,-3.32,-3.41,-0.09,2.639296188,,,,,Seasonal adjustment,21.9,101.7666667,Site44,1709,1.2208,1399,229,72,126,154,310,103,-82,185,June,April,Fu et al. 2012,
Planchonia careya,Planchonia,careya,Med/TempDry,W,D,Med/TempDry,-1.62,-1.58,0.04,-1.73,-1.83,-0.1,5.464480874,88,86,-2,-2.325581395,Seasonal adjustment,-12.5667,131.0833,Site53,1509,0.8592,1755,125,85,165,139,-246,-40,-54,14,November,April,Myers et al. 1997,
