Species,Family,Genus,Species_name,Biomes,BiomeType,Woody_Herbaceous,Evergreen_Deciduous_Herb,Biome_FunctionalType,TLP_WET_MPa,TLP_DRY_MPa,TLP_Adjustment_MPa,TLP_adjustment_contribution_to_TLP_DRY_percent,Drought Treatment,Site_Latitude,Site_Longitude,Site_Number,MeanAnnualPrecip_mm,AridityIndex_AI,PotentialEvapotranspiration_annual_mm,MeanPrecipitation_WetSeason_mm,MeanPrecipitation_DrySeason_mm,MeanPrecipitation_SeasonalDifference_mm,PotentialEvapotranspiration_WetSeason_mm,PotentialEvapotranspiration_DrySeason_mm,PotentialEvapotranspiration_SeasonalDifference_mm,Annual_WaterBalance_mm,WetSeason_WaterBalance_mm,DrySeason_WaterBalance_mm,SeasonalDifference_WaterBalance_mm,Wet month,Dry month,Reference,Notes,TLP_StandardError_WET,TLP_StandardError_DRY,TLP_N_WET,TLP_N_DRY,TLP_SD_WET,TLP_SD_DRY,Hedges_d_effectsize,Variance_Hedges_d,Relative_rate,Variance_relative)rate
Polylepis tarapacana,Rosaceae,Polylepis,tarapacana,TropicalDry,Wet,W,E,TropicalDryE,-2.23,-2.25,-0.02,0.888888889,Seasonal adjustment,-18.1167,-68.95,Site45,339,0.3222,1055,88,4,84,95,84,11,-716,-7,-80,73,February,September,Garcia-Nunez et al. 2004,,0.16,0.12,3,3,0.277128129,0.207846097,-0.0653,0.667,-0.008928631,0.007992346
Populus tremloides,Salicaceae,Populus,tremloides,Temperate,Dry,W,D,TemperateD,-1.53,-2.78,-1.25,44.96402878,Seasonal adjustment,44.710281,-89.09582,Site70,814,0.9025,903,91,102,-11,132,138,-6,-89,-41,-36,-5,May,August,Abrams 1988,,0.02,0.13,3,3,0.034641016,0.225166605,-6.2077,3.878,-0.597183192,0.002357614
Populus trichocarpa,Salicaceae,Populus,trichocarpa,Temperate,Dry,W,D,TemperateD,-1.9,-1.58,0.32,-20.25316456,Seasonal adjustment,47.9,-122.1,Site56,1058,1.2482,846,55,60,-5,128,84,44,212,-73,-24,-49,June,September,Pezeshki & Hinckley 1988,,0.17,0.18,6,6,0.416413256,0.440908154,0.6888,0.3531,0.184429039,0.020984229
Protium icicariba,Proteceae,Protium,icicariba,Coastal/Wetland,Wet,W,E,Coastal/Wetland,-2.47,-2.78,-0.31,11.15107914,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,102,143,98,45,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,Wet and dry season climate data estimated from the wettest and driest months of the year,0.177643302,0.090711474,7,7,0.469999999,0.240000001,-0.7777,0.3073,-0.118232777,0.006237258
Pterospermum menglunense,Sterculiaceae,Pterospermum,menglunense,TropicalDry,Wet,W,E,TropicalDryE,-1.67958,-1.848562667,-0.168982667,9.141300412,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.254950958,0.03537332,3,5,0.441588013,0.079097148,-0.5587,0.5528,-0.095864638,0.023407732
Quercus ellipsoidalis,Fagaceae,Quercus,ellipsoidalis,Temperate,Dry,W,D,TemperateD,-0.99,-1.72,-0.73,42.44186047,Seasonal adjustment,44.710281,-89.09582,Site70,814,0.9025,903,91,102,-11,132,138,-6,-89,-41,-36,-5,May,August,Abrams 1988,,0.04,0.06,3,3,0.069282032,0.103923048,-6.6125,4.3104,-0.552374627,0.00284936
Quercus illicifolia,Fagaceae,Quercus,illicifolia,Temperate,Dry,W,D,TemperateD,-1.7,-1.76,-0.06,3.225360485,Seasonal adjustment,47.81305556,-114.3091667,Site83,452,0.5863,908,57,39,18,123,91,32,-456,-66,-52,-14,June,August,Kubiske & Abrams 1991b,,0.06,0.08,3,3,0.103923048,0.138564065,-0.3919,0.6795,-0.034685558,0.00331179
Quercus petraea,Fagaceae,Quercus,petraea,Temperate,Dry,W,D,TemperateD,-2.19,-2.49,-0.3,12.04819277,Seasonal adjustment,41.11666667,-3.5,Site29,604,0.6623,921,55,27,28,136,162,-26,-317,-81,-135,54,June,July,Aranda et al. 1996,,0.11,0.15,4,4,0.22,0.3,-0.9917,0.5615,-0.128381167,0.006151857
Quercus prinus,Fagaceae,Quercus,prinus,Temperate,Dry,W,D,TemperateD,-1.5,-1.51,-0.01,0.662251656,Seasonal adjustment,47.81305556,-114.3091667,Site83,452,0.5863,908,57,39,18,123,91,32,-456,-66,-52,-14,June,August,Kubiske & Abrams 1991b,,0.09,0.11,3,3,0.155884573,0.190525589,-0.046,0.6668,-0.006644543,0.008906785
Quercus pyrenaica,Fagaceae,Quercus,pyrenaica,Temperate,Dry,W,D,TemperateD,-1.75,-2.73,-0.98,35.8974359,Seasonal adjustment,41.11666667,-3.5,Site29,604,0.6623,921,55,27,28,136,162,-26,-317,-81,-135,54,June,July,Aranda et al. 1996,,0.06,0.01,4,4,0.12,0.02,-9.9063,6.6334,-0.444685821,0.001188928
Quisqualis indica,Combretaceae,Quisqualis,indica,TropicalDry,Wet,W,E,TropicalDryE,-1.37,-1.43,-0.06,4.195804196,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,217,125,86,39,99,178,0,178,August,November,Zhu & Cao 2009,,0.11,0.04,5,5,0.245967478,0.089442719,-0.2928,0.4043,-0.042863704,0.007229235
Santalum acuminatum,Santalaceae,Santalum,acuminatum,Med/TempDry,Dry,W,E,Med/TempDry,-2.444444444,-2.694444444,-0.25,9.278350517,Seasonal adjustment,-32.31666667,117.8666667,Site3,375,0.2434,1437,28,17,11,92,143,-51,-1062,-64,-126,62,September,March,Mitchell et al. 2008,,0.24,0.53,4,4,0.48,1.06,-0.2642,0.5044,-0.097374164,0.048330965
Saprosma ternata ,Rubiaceae,Saprosma,ternatum,TropicalDry,Wet,W,E,TropicalDryE,-1.392072,-1.407741333,-0.015669333,1.113083275,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.059314847,0.022296246,5,5,0.13263203,0.049855922,-0.1413,0.401,-0.011193244,0.002066382
Scinus johnstonii,Anacardiaceae,Schinus,johnstonii,SemiDesert,Dry,W,E,SemiDesert,-3.77,-3.79,-0.02,0.527704485,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,2,104,116,-12,-660,-93,-107,14,February,November,Scholz et al. 2012,,0.16,0.34,5,5,0.357770876,0.760263112,-0.0304,0.4,-0.005291018,0.009849022
Senecio filaginoides,Asteraceae,Senecio,filaginoides,SemiDesert,Dry,W,E,SemiDesert,-1.72,-2.24,-0.52,23.21428571,Seasonal adjustment,-46.51666667,-71.05,Site1,188,0.194,848,11,9,2,104,116,-12,-660,-93,-107,14,February,November,Scholz et al. 2012,,0.12,0.09,5,5,0.268328157,0.201246118,-1.9803,0.5961,-0.264151575,0.006481814
Shorea wantianshuensis,Dipterocarpaceae,Shorea,wantianshuea,TropicalDry,Wet,W,E,TropicalDryE,-1.76252,-1.810082667,-0.047562667,2.627651628,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.035419309,0.05337478,5,5,0.079199983,0.119349636,-0.4242,0.409,-0.026627913,0.001273354
Sloanea tomentosa,Elaeocarpaceae,Sloanea,tomentosa,TropicalDry,Wet,W,E,TropicalDryE,-1.58,-1.55868,0.02132,-1.367824056,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.045017826,0.032240373,6,5,0.110270703,0.072091666,0.2047,0.3686,0.013585538,0.001239656
Sumbaviopsis albicans ,Euphorbiaceae,Sumbaviopsis,albicans,TropicalDry,Wet,W,E,TropicalDryE,-2.04306,-2.357746667,-0.314686667,13.34692446,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.218565491,0.100491725,5,5,0.488727295,0.224706328,-0.7473,0.4279,-0.143257677,0.013261238
Syzygium szemaoense,Myrtaceae,Syzygium,szemaoense,TropicalDry,Wet,W,E,TropicalDryE,-1.28,-1.77,-0.49,27.68361582,Seasonal adjustment,21.9,101.7666667,Site10,1493,1.0392,1394,303,86,217,125,86,39,99,178,0,178,August,November,Zhu & Cao 2009,,0.07,0.03,5,5,0.156524758,0.067082039,-3.6754,1.0754,-0.324119469,0.003277996
Ternstroemia brasiliensis,Theaceae,Ternstroemia,brasiliensis,Coastal/Wetland,Wet,W,E,Coastal/Wetland,-1.88,-2.41,-0.53,21.99170124,Seasonal adjustment,-22.2,-41.41666667,Site5,1200,0.7738,1371,136,34,102,143,98,45,-171,-7,-64,57,Not given,Not given,Rosado & De Mattos 2010,Wet and dry season climate data estimated from the wettest and driest months of the year,0.049135381,0.166304368,7,7,0.129999999,0.44,-1.5294,0.3693,-0.248354971,0.005444905
Trigonostemon thyrsoideum ,Euphorbiaceae,Trigonostemon , thyrsoideum,TropicalDry,Wet,W,E,TropicalDryE,-1.31064,-1.391586667,-0.080946667,5.816861329,Seasonal adjustment,21.6117,101.574,Site33,1608,0.88619403,1425,290,29,261,135,157,-22,183,155,-128,283,July,March,Bartlett unpublished data,,0.191289638,0.058693032,5,5,0.427736634,0.131241609,-0.2311,0.4027,-0.059929016,0.023080692
